Bordeaux  (2518,2023)  (2453,2013)  (2454,2092)  (2524,2102)  (2583,1969)  (2518,1958)  (2589,2112)  (2595,2034)  (2411,1948)  (2389,2140)  (2459,2157)  (2524,2167)  (2591,2177)  | overflowToLeft=false
Tabuk  (5072,3518)  (5007,3514)  (5120,3583)  | overflowToLeft=false
RR 67  (5061,3038)  | overflowToLeft=false
Bandundu  (3645,4917)  (3662,4829)  | overflowToLeft=false
RR 66  (5103,2862)  | overflowToLeft=false
RR 69  (5802,2905)  | overflowToLeft=false
RR 68  (5536,2974)  | overflowToLeft=false
Marseilles  (2823,1978)  (2893,1924)  (2897,1989)  (2781,1913)  (2761,2055)  (2807,1848)  | overflowToLeft=false
RR 140  (2238,5731)  | overflowToLeft=false
RR 141  (3419,1725)  | overflowToLeft=false
Syria  (5256,2946)  (5321,2962)  (5321,2878)  (5191,3002)  (5191,2937)  (5256,3011)  (5256,2862)  (5342,3027)  (5277,3076)  (5212,3076)  | overflowToLeft=false
Silesia  (3833,1240)  (3773,1309)  (3768,1229)  (3839,1320)  (3898,1192)  (3833,1175)  (3736,1164)  (3908,1358)  | overflowToLeft=false
RR 142  (5886,3528)  | overflowToLeft=false
RR 143  (5633,1015)  | overflowToLeft=false
RR 70  (5008,3210)  | overflowToLeft=false
RR 144  (6053,1188)  | overflowToLeft=false
RR 145  (5784,557)  | overflowToLeft=false
RR 72  (1628,3571)  | overflowToLeft=false
RR 146  (6054,553)  | overflowToLeft=false
RR 71  (5720,3219)  | overflowToLeft=false
RR 147  (5391,363)  | overflowToLeft=false
RR 74  (2526,2876)  | overflowToLeft=false
RR 148  (5496,245)  | overflowToLeft=false
RR 73  (2163,3183)  | overflowToLeft=false
RR 149  (5454,3)  | overflowToLeft=false
RR 76  (3147,2917)  | overflowToLeft=false
RR 75  (2856,2879)  | overflowToLeft=false
French Sudan  (2876,4014)  (2811,4078)  (2811,4013)  (2921,4079)  (2941,3964)  (2986,4029)  (2850,4143)  (2746,4012)  (3006,3964)  | overflowToLeft=false
RR 56  (3562,2436)  | overflowToLeft=false
RR 55  (5617,2259)  | overflowToLeft=false
RR 58  (3993,2571)  | overflowToLeft=false
RR 57  (4033,2344)  | overflowToLeft=false
RR 59  (4615,2606)  | overflowToLeft=false
Picardy  (2598,1501)  (2663,1458)  (2663,1523)  | overflowToLeft=false
RR 61  (5273,2436)  | overflowToLeft=false
RR 60  (4951,2414)  | overflowToLeft=false
RR 63  (4809,2788)  | overflowToLeft=false
RR 62  (5453,2467)  | overflowToLeft=false
RR 65  (5725,2639)  | overflowToLeft=false
Finland  (4269,22)  (4204,86)  (4204,21)  (4333,87)  (4334,20)  (4139,147)  (4139,82)  (4399,20)  (4074,137)  (4074,72)  (4464,20)  (4009,70)  (4529,20)  (4547,85)  | overflowToLeft=false
RR 64  (5057,2730)  | overflowToLeft=false
Paschendale  (754,4105)  (689,4169)  (689,4104)  (818,4170)  (754,4040)  (819,4040)  (819,4105)  (687,4039)  (753,4234)  (688,4234)  (624,4169)  (624,4104)  (883,4170)  (883,4235)  (818,4235)  (623,4235)  (752,3975)  (817,3975)  (882,3975)  (884,4040)  (884,4105)  (622,4039)  (622,3974)  (687,3974)  (719,4299)  | overflowToLeft=false
Hanover  (3270,1222)  (3205,1256)  (3205,1191)  (3270,1157)  (3335,1157)  | overflowToLeft=false
Chaumont  (878,5903)  (813,5967)  (813,5902)  (942,5968)  (878,5838)  (943,5838)  (943,5903)  (811,5837)  (877,6032)  (812,6032)  (748,5967)  (748,5902)  (1007,5968)  (1007,6033)  (942,6033)  (747,6033)  (876,5773)  (941,5773)  (1006,5773)  (1008,5838)  (1008,5903)  (746,5837)  (746,5772)  (811,5772)  (683,5968)  (683,5903)  (1072,5968)  (1072,6033)  (682,6057)  (876,5708)  (941,5708)  (1073,5780)  (1073,5845)  (681,5838)  (681,5773)  (690,5707)  (755,5707)  (618,5992)  (618,5927)  (1137,5910)  (1137,5975)  (1137,6040)  (617,6057)  (820,5643)  (885,5643)  (950,5643)  (616,5862)  (716,5642)  (781,5578)  (846,5578)  (911,5578)  | overflowToLeft=false
RR 89  (3739,4101)  | overflowToLeft=false
Bar-Le-Duc  (1426,5952)  (1361,6016)  (1361,5951)  (1490,6017)  (1426,5887)  (1491,5919)  (1359,5886)  (1542,5835)  (1296,6057)  (1296,5992)  (1555,5984)  (1555,6049)  (1294,5927)  (1349,5821)  (1477,5778)  (1607,5794)  (1607,5859)  (1620,6033)  (1412,5721)  (1672,5838)  (1672,5903)  (1685,6001)  (1737,5849)  (1750,5975)  (1750,6040)  (1802,5848)  (1815,5950)  (1815,6015)  (1880,6029)  | overflowToLeft=false
RR 88  (3394,4160)  | overflowToLeft=false
Ivory Coast  (2791,4354)  (2860,4286)  (2873,4351)  (2893,4456)  (2828,4460)  | overflowToLeft=false
B. Somaliland  (4481,4343)  | overflowToLeft=false
I. Somaliland  (4687,4504)  | overflowToLeft=false
RR 92  (4754,4126)  | overflowToLeft=false
RR 91  (4496,4083)  | overflowToLeft=false
RR 94  (2840,4409)  | overflowToLeft=false
RR 93  (2668,4427)  | overflowToLeft=false
RR 96  (3269,4473)  | overflowToLeft=false
RR 95  (3033,4426)  | overflowToLeft=false
RR 98  (3926,4284)  | overflowToLeft=false
RR 97  (3456,4549)  | overflowToLeft=false
Compiegne  (74,5307)  (138,5372)  (73,5372)  (78,5242)  (139,5307)  (143,5238)  (146,5437)  (81,5437)  (78,5177)  (204,5303)  (74,5112)  (77,5047)  (80,4982)  | overflowToLeft=false
Bulgaria  (4300,2176)  (4364,2241)  (4263,2111)  (4328,2111)  (4365,2176)  (4393,2083)  (4202,2221)  (4190,2156)  (4458,2084)  (4225,2339)  | overflowToLeft=false
Arar  (5398,3187)  (5333,3251)  (5333,3186)  (5462,3252)  (5398,3122)  (5463,3122)  (5463,3187)  (5268,3293)  (5268,3228)  (5527,3252)  (5528,3100)  (5528,3165)  | overflowToLeft=false
RR 90  (4145,4063)  | overflowToLeft=false
Angolia  (3628,5245)  (3584,5180)  (3693,5246)  (3742,5311)  | overflowToLeft=false
RR 78  (3663,3381)  | overflowToLeft=false
RR 77  (3421,3295)  | overflowToLeft=false
RR 79  (3987,3182)  | overflowToLeft=false
RR 81  (4513,3364)  | overflowToLeft=false
RR 80  (4313,3299)  | overflowToLeft=false
Sicily  (3428,2717)  | overflowToLeft=false
RR 83  (4986,3323)  | overflowToLeft=false
RR 82  (4735,3317)  | overflowToLeft=false
Bryansk  (4923,1368)  (4987,1433)  (4871,1303)  (4936,1303)  (4988,1368)  (4837,1453)  (4810,1388)  (5052,1433)  (5052,1498)  (4987,1498)  (5053,1339)  (4861,1518)  (4772,1498)  (5117,1464)  (5117,1529)  (5052,1563)  (4987,1563)  | overflowToLeft=false
RR 85  (5887,3345)  | overflowToLeft=false
RR 84  (5039,3411)  | overflowToLeft=false
RR 87  (2651,4118)  | overflowToLeft=false
RR 86  (4804,3596)  | overflowToLeft=false
British E. Africa  (4353,4676)  (4315,4741)  (4418,4633)  | overflowToLeft=false
BR 6  (5963,1163)  (5992,1244)  | overflowToLeft=false
BR 5  (5948,576)  (5980,531)  (5986,600)  | overflowToLeft=false
Russian Infiltration  (4633,3804)  (4568,3868)  (4568,3803)  (4697,3869)  (4633,3739)  (4698,3739)  (4698,3804)  (4566,3738)  (4503,3875)  (4503,3810)  (4762,3869)  (4763,3706)  (4763,3771)  (4438,3875)  (4438,3810)  (4373,3875)  (4308,3875)  | overflowToLeft=false
BR 4  (5430,66)  (5509,71)  | overflowToLeft=false
Normandy  (2319,1660)  (2254,1698)  (2254,1633)  (2325,1595)  (2390,1589)  (2398,1739)  (2189,1650)  | overflowToLeft=false
BR 3  (4108,3796)  (4043,3860)  (4043,3795)  (4150,3861)  (4108,3731)  (4173,3731)  (4173,3796)  (4041,3730)  (3978,3875)  (3978,3810)  (4238,3706)  (4238,3771)  (3976,3745)  (3913,3875)  (3913,3810)  (4303,3706)  (3848,3875)  (4368,3706)  (3783,3875)  | overflowToLeft=false
